AIX,Linux,"OS_compatibility","SPL root search",Solaris,description,"formula (or field name if not evaluated)","is_evaluated","long_description","main_type","nmon_section","perf_item",sourcetype,unity
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) average amount of user-mode CPU used by this process","%Usr",false,"(%) average amount of user-mode CPU used by this process Equal to 'prstat.CPU * prstat -v.USR / (prstat -v.USR + prstat -v.SYS)'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) average amount of kernel-mode CPU used by this process","%Sys",false,"(%) average amount of kernel-mode CPU used by this process Equal to 'prstat.CPU * prstat -v.SYS / (prstat -v.USR + prstat -v.SYS)'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"Number of LWPs of this process",Threads,false,"Number of LWPs of this process Same as 'prstat.NLWP'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(KB) total virtual memory size of this process",Size,false,"(KB) total virtual memory size of this process Same as 'prstat.SIZE'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",KB
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(KB) Resident set size of the process Same as 'prstat.RSS'",ResSize,false,"(KB) Resident set size of the process Same as 'prstat.RSS'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",KB
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,Unused,ResData,false,Unused,"Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","N/A"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(bytes/s) count of bytes/sec being passed via the read and write system calls",CharIO,false,"(bytes/s) count of bytes/sec being passed via the read and write system calls","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","bytes/sec"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) = 100 * ResSize / total physical memory","%RAM",false,"(%) = 100 * ResSize / total physical memory","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(/s) sum of all page faults for this process",Paging,false,"(/s) sum of all page faults for this process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","Pages/sec"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"Name of the process Same as 'prstat.PROCESS'",Command,false,"Name of the process Same as 'prstat.PROCESS'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"The real user (login) name or real user ID",Username,false,"The real user (login) name or real user ID Same as 'prstat.USERNAME'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"Project name",Project,false,"Project name","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"Zone name",Zone,false,"Zone name","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) of time the process has spent in user mode",USR,false,"(%) of time the process has spent in user mode Same as 'prstat -v.USR'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) The percentage of time the process has spent in system mode",SYS,false,"(%) The percentage of time the process has spent in system mode Same as 'prstat -v.SYS'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) of time the process has spent in processing system traps",TRP,false,"(%) of time the process has spent in processing system traps Same as 'prstat -v.TRP'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) of time the process has spent processing text page faults",TFL,false,"(%) of time the process has spent processing text page faults Same as 'prstat -v.TFL'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) of time the process has spent processing data page faults",DFL,false,"(%) of time the process has spent processing data page faults Same as 'prstat -v.DFL'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) of time the process has spent waiting for user locks",LCK,false,"(%) of time the process has spent waiting for user locks Same as 'prstat -v.LCK'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) of time the process has spent sleeping",SLP,false,"(%) of time the process has spent sleeping Same as 'prstat -v.SLP'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",true,"(%) of time the process has spent waiting for CPU",LAT,false,"(%) of time the process has spent waiting for CPU Same as 'prstat -v.LAT'","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"PID : The id of the process",PID,false,"PID : The id of the process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",id
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"pct_CPU : (%) average amount of CPU used by this process","pct_CPU",false,"pct_CPU : (%) average amount of CPU used by this process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"pct_Usr : (%) average amount of user-mode CPU used by this process","pct_Usr",false,"pct_Usr : (%) average amount of user-mode CPU used by this process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"pct_Sys : (%) average amount of kernel-mode CPU used by this process","pct_Sys",false,"pct_Sys : (%) average amount of kernel-mode CPU used by this process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","%"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"Size : The size of the pages in kilobytes.",Size,false,"Size : The size of the pages in kilobytes.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",KB
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"ResSet : The sum of real-memory data used by the process",ResSet,false,"ResSet : The sum of real-memory data used by the process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",KB
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"ResText : The real-memory text size of the process.",ResText,false,"ResText : The real-memory text size of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",KB
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"ResData : The real-memory data size of the process.",ResData,false,"ResData : The real-memory data size of the process.","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",KB
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"ShdLib : Shared library pages of the process",ShdLib,false,"ShdLib : Shared library pages of the process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",KB
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"MinorFault : Minor faults pages associated with the process",MinorFault,false,"MinorFault : Minor faults pages associated with the process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"MajorFault : Major faults pages associated with the process",MajorFault,false,"MajorFault : Major faults pages associated with the process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=TOP",false,"Command : Name of the process",Command,false,"Command : Name of the process","Performance Data",TOP,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=UARG",false,"Process ID",PID,false,"Process ID","Performance Data",UARG,"PROCESSES STATISTICS","sourcetype=nmon_data",PID
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=UARG",false,"Command invocation","Command (Linux), COMM (AIX)",false,"Command Invocation, name of main command running (no arguments)","Performance Data",UARG,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=UARG",false,"Command invocation agruments",FullCommand,false,"Full Command Invocation including arguments passed to commands","Performance Data",UARG,"PROCESSES STATISTICS","sourcetype=nmon_data",string
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=FILE",false,"Read System calls",readch,false,"Readch, The amount of bytes read per second through the read system call over the monitoring interval","Performance Data",FILE,"KERNEL STATISTICS","sourcetype=nmon_data","Rate/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=FILE",false,"Write System calls",wrtiech,false,"Writech, The amount of bytes written per second through the write system call over the monitoring interval","Performance Data",FILE,"KERNEL STATISTICS","sourcetype=nmon_data","Rate/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=FILE",false,"Raw bytes read per sec",Rawin,false,"Rawin, The amount of raw bytes read per second from TTYs over the monitoring interval","Performance Data",FILE,"KERNEL STATISTICS","sourcetype=nmon_data","Rate/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=FILE",false,"Tty bytes written per sec",Ttyout,false,"Ttyout, The amount of bytes written to TTYs per second over the monitoring interval","Performance Data",FILE,"KERNEL STATISTICS","sourcetype=nmon_data","Rate/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=FILE",false,"Nbr of inode calls per sec",Igets,false,"Igets, The number of calls per second to the inode lookup routines over the monitoring interval","Performance Data",FILE,"KERNEL STATISTICS","sourcetype=nmon_data","Rate/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=FILE",false,"Nbr of path calls per sec",Namei,false,"Namei, The number of calls per second to the path name lookup routines over the monitoring interval","Performance Data",FILE,"KERNEL STATISTICS","sourcetype=nmon_data","Rate/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=FILE",false,"Nbr of directory block scanned per sec",Dirblk,false,"Dirblk, The number of directory blocks scanned per second by the directory search routine over the monitoring interval","Performance Data",FILE,"KERNEL STATISTICS","sourcetype=nmon_data","Rate/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Number of page faults",faults,false,"The total number of page faults taken per second over the monitoring interval. This includes page faults that do not cause paging activity","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Number of paged-in pages from page space",pgspin,false,"The number of 4 K pages read from paging space per second over the monitoring interval","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Number of paged-out pages from page space",pgsout,false,"The number of 4 K pages written to paging space per second over the monitoring interval","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Number of paged-in pages",pgin,false,"The number of 4 K pages read per second over the monitoring interval. This includes paging activity associated with reading from file systems. Subtract PgspIn from this value to get the number of 4K pages read from file systems per second over the monitoring interval","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Number of paged-out pages",pgout,false,"The number of 4 K pages written per second over the monitoring interval. This includes paging activity associated with writing to file systems. Subtract PgspOut from this value to get the number of 4K pages written to file systems per second over the monitoring interval","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Number of page scans by clock",scans,false,"Number of page scans by clock","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Number of pages reclaims",reclaims,false,"Number of pages reclaims","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Sum of pgsin / pgin per time interval",fsin,false,"Sum of pgsin / pgin per time interval","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Sum of pgsout / pgout per time interval",fsout,false,"Sum of pgsout / pgout per time interval","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=PAGE",false,"Scan Free Ratio, Pages scans by reclaims per time interval","scanfree_ratio=(scans/reclaims)",true,"Scan Free Ratio, Pages scans by reclaims per time interval (scans/reclaims)","Performance Data",PAGE,"PAGING STATISTICS","sourcetype=nmon_data","Pages/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=IOADAPT",false,"Receive-KB/s",value,false,"Data transfer rate of received data in kilobytes per second","Performance Data",IOADAPT,"FIBER CHANNEL STATISTICS","sourcetype=nmon_data","kilobytes/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=IOADAPT",false,"Transmit-KB/s",value,false,"Data transfer rate of sent data in kilobytes per second","Performance Data",IOADAPT,"FIBER CHANNEL STATISTICS","sourcetype=nmon_data","kilobytes/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=IOADAPT",false,"Requests In",value,false,"Number of requests that are received per second in the interval","Performance Data",IOADAPT,"FIBER CHANNEL STATISTICS","sourcetype=nmon_data","requests/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=IOADAPT",false,"Requests Out",value,false,"Number of requests that are sent per second in the interval","Performance Data",IOADAPT,"FIBER CHANNEL STATISTICS","sourcetype=nmon_data","requests/sec"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=IOADAPT",false,"Name of the Fibre Channel adapter",device,false,"Name of the Fibre Channel adapter","Performance Data",IOADAPT,"FIBER CHANNEL STATISTICS","sourcetype=nmon_data",device
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"Nbr of threads ready to run but waiting for an available processor","Runnable / runqueue",false,"Average number of threads that are ready to run but are waiting for an available processor","Performance Data",PROC,"KERNEL STATISTICS","sourcetype=nmon_data",Nbr
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"Nbr of processes in swap queue per sec in the interval",swapin,false,"Number of processes in swap queue per second in the interval","Performance Data",PROC,"KERNEL STATISTICS","sourcetype=nmon_data",Nbr
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"Number of processor switches per second in the interval.",pswitch,false,"Number of processor switches per second in the interval","Performance Data",PROC,"KERNEL STATISTICS","sourcetype=nmon_data",Nbr
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"Number of system calls per second in the interval.",Syscall,false,"Number of system calls per second in the interval","Performance Data",PROC,"KERNEL STATISTICS","sourcetype=nmon_data",Nbr
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"Number of execs per second in the interval.",exec,false,"Number of execs per second in the interval","Performance Data",PROC,"KERNEL STATISTICS","sourcetype=nmon_data",Nbr
true,true,"ALL OS","eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"Number of forks per second in the interval.",fork,false,"Number of forks per second in the interval","Performance Data",PROC,"KERNEL STATISTICS","sourcetype=nmon_data",Nbr
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"% time spent in user mode",USR,false,"(%) The percentage of time all processes have spent in user mode (estimation since terminated processes are not accounted)","Performance Data",PROCSOL,"KERNEL STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"% time spent in system mode",SYS,false,"(%) The percentage of time all processes have spent in system mode (estimation since terminated processes are not accounted)","Performance Data",PROCSOL,"KERNEL STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"% time spent in processing system traps",TRP,false,"(%) The percentage of time all processes have spent in processing system traps (estimation since terminated processes are not accounted)","Performance Data",PROCSOL,"KERNEL STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"% time spent processing text page faults",TFL,false,"(%) The percentage of time all processes have spent processing text page faults (estimation since terminated processes are not accounted)","Performance Data",PROCSOL,"KERNEL STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"% time spent processing data page faults",DFL,false,"(%) The percentage of time all processes have spent processing data page faults (estimation since terminated processes are not accounted)","Performance Data",PROCSOL,"KERNEL STATISTICS","sourcetype=nmon_data","%"
false,false,Solaris,"eventtype=nmon:performance sourcetype=nmon_data type=PROC",true,"% time waiting for CPU",LAT,false,"(%) The percentage of time all processes have spent waiting for CPU (estimation since terminated processes are not accounted)","Performance Data",PROCSOL,"KERNEL STATISTICS","sourcetype=nmon_data","%"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"nr_dirty: Number of pages that are dirty","nr_dirty",false,"nr_dirty: Number of pages that are dirty","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"nr_writeback: Number of pages that are under writeback","nr_writeback",false,"nr_writeback: Number of pages that are under writeback","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"nr_unstable: Number of pages that are unstable","nr_unstable",false,"nr_unstable: Number of pages that are unstable","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"nr_page_table_pages: Number of pages allocated to page tables","nr_page_table_pages",false,"nr_page_table_pages: Number of pages allocated to page tables","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"nr_mapped: Number of pages mapped by files","nr_mapped",false,"nr_mapped: Number of pages mapped by files","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"nr_slab: allocated by the kernel slab allocator","nr_slab",false,"nr_slab: allocated by the kernel slab allocator","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgpgin: Number of pageins",pgpgin,false,"pgpgin: Number of pageins (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgpgout: Number of pageouts",pgpgout,false,"pgpgout: Number of pageouts (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pswpin: Number of swapins",pswpin,false,"pswpin: Number of swapins (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pswpout: Number of swapouts",pswpout,false,"pswpout: Number of swapouts (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgalloc_high: Number of page allocations per zone","pgalloc_high",false,"pgalloc_high: Number of page allocations per zone (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgalloc_normal: Number of page allocations per zone","pgalloc_normal",false,"pgalloc_normal: Number of page allocations per zone (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgalloc_dma32: Number of page allocations per zone","pgalloc_dma32",false,"pgalloc_dma32: Number of page allocations per zone (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgalloc_dma: Number of page allocations per zone","pgalloc_dma",false,"pgalloc_dma: Number of page allocations per zone (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgfree: Number of page frees",pgfree,false,"pgfree: Number of page frees (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgactivate: Number of page activations",pgactivate,false,"pgactivate: Number of page activations (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgdeactivate: Number of page deactivations",pgdeactivate,false,"pgdeactivate: Number of page deactivations (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgfault: Number of minor page faults",pgfault,false,"pgfault: Number of minor page faults (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgmajfault: Number of major page faults",pgmajfault,false,"pgmajfault: Number of major page faults (since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgrefill_high: Number of page refills","pgrefill_high",false,"pgrefill_high: Number of page refills (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgrefill_normal: Number of page refills","pgrefill_normal",false,"pgrefill_normal: Number of page refills (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgrefill_dma32: Number of page refills","pgrefill_dma32",false,"pgrefill_dma32: Number of page refills (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgrefill_dma: Number of page refills","pgrefill_dma",false,"pgrefill_dma: Number of page refills (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgsteal_high: Number of page steals","pgsteal_high",false,"pgsteal_high: Number of page steals (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgsteal_normal: Number of page steals","pgsteal_normal",false,"pgsteal_normal: Number of page steals (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgsteal_dma32: Number of page steals","pgsteal_dma32",false,"pgsteal_dma32: Number of page steals (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgsteal_dma: Number of page steals","pgsteal_dma",false,"pgsteal_dma: Number of page steals (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_kswapd_high: Number of pages scanned by the kswapd daemon","pgscan_kswapd_high",false,"pgscan_kswapd_high: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_kswapd_normal: Number of pages scanned by the kswapd daemon","pgscan_kswapd_normal",false,"pgscan_kswapd_normal: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_kswapd_dma32: Number of pages scanned by the kswapd daemon","pgscan_kswapd_dma32",false,"pgscan_kswapd_dma32: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_kswapd_dma: Number of pages scanned by the kswapd daemon","pgscan_kswapd_dma",false,"pgscan_kswapd_dma: Number of pages scanned by the kswapd daemon (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_direct_high: Number of pages reclaimed directly","pgscan_direct_high",false,"pgscan_direct_high: Number of pages reclaimed directly (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_direct_normal: Number of pages reclaimed directly","pgscan_direct_normal",false,"pgscan_direct_normal: Number of pages reclaimed directly (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_direct_dma32: Number of pages reclaimed directly","pgscan_direct_dma32",false,"pgscan_direct_dma32: Number of pages reclaimed directly (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=VM",false,"pgscan_direct_dma: Number of pages reclaimed directly","pgscan_direct_dma",false,"pgscan_direct_dma: Number of pages reclaimed directly (per zone, since the last boot)","Performance Data",VM,"KERNEL STATISTICS","sourcetype=nmon_data","Pages/sec"
