AIX,Linux,"OS_compatibility","SPL root search",Solaris,description,"formula (or field name if not evaluated)","is_evaluated","long_description","main_type","nmon_section","perf_item",sourcetype,unity
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"EC Global Usage (for shared lpars)","lpar_ec_usage=round(((EC_User_PCT+EC_Sys_PCT+EC_Wait_PCT+EC_Idle_PCT)*entitled/100),2)",true,"Global CPU usage of shared lpars, calculated over EC (not applicable for dedicated partitions)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"EC Global Usage in percentage (for shared lpars","lpar_ec_PCT_usage=round((((EC_User_PCT+EC_Sys_PCT+EC_Wait_PCT+EC_Idle_PCT)*entitled)/virtualCPUs),2)",true,"Global CPU capacity usage of shared lpars, calculated over EC (not applicable for dedicated partitions)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"VP CPU percentage free (Idle)","VP_Idle_PCT",false,"Percentage of CPU time free, meaning not having task to do","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"VP CPU percentage in kernel mode (Sys)","VP_Sys_PCT",false,"Percentage of CPU time spent in kernel mode","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"VP CPU percentage in user mode (User)","VP_User_PCT",false,"Percentage of CPU time spent in user mode","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"VP CPU percentage waiting for resources (Wait)","VP_Wait_PCT",false,"Percentage of CPU time spent in waiting for resources","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"VP Global Usage (for all lpars)","lpar_vp_usage=round(((VP_User_PCT+VP_Sys_PCT+VP_Wait_PCT+VP_Idle_PCT)*virtualCPUs/100),2)",true,"Global CPU usage of shared lpars, calculated over VP (for all lpars)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"VP Global Usage in percentage (for all lpars","lpar_vp_Pct_usage=round((VP_User_PCT+VP_Sys_PCT+VP_Wait_PCT+VP_Idle_PCT),2)",true,"Global CPU capacity usage of shared lpars, calculated over EC (for all lpars)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"POOL VP Usage","Pool_usage=round((poolCPUs-PoolIdle),2)",true,"Global CPU usage of the Pool that the lpar belongs to","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"POOL % VP usage","Pool_PCT_usage=round(((poolCPUs-PoolIdle)*100/poolCPUs),2)",true,"Global CPU usage in percentage of the Pool that the lpar belongs to","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","%"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"POOL ID","Pool_id",false,"POOL Identifier that the lpar belongs to (the DefaultPool will always have a 0 ID)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data",id
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"POOL Virtual CPUs (VP)",poolCPUs,false,"Number of Virtual Processor affected to the Pool the lpar belongs to","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
true,false,AIX,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=AIX",false,"POOL VP free",PoolIdle,false,"Number of Free Virtual Processor in the Pool the lpar belongs to (can be used as filter to exclude lpars with no access to Pool monitoring)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data","Virtual Processors (VP)"
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux",false,"lpar_entitled_capacity: Entitled capacity of the partition (PowerLinux only)","partition_entitled_capacity",false,"lpar_entitled_capacity: Entitled capacity of the partition (PowerLinux only)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data",Nbr
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux",false,"lpar_vp_capacity: Number of virtual processors in the LPAR definition (PowerLinux only)","partition_active_processors",false,"lpar_vp_capacity: Number of virtual processors in the LPAR definition (PowerLinux only)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data",Nbr
false,true,Linux,"eventtype=nmon:performance sourcetype=nmon_data type=LPAR Ostype=Linux",false,"lpar_vp_usage: CPU usage of the partition in Virtual CPUs (PowerLinux only)","round(PhysicalCPU,3)",false,"lpar_vp_usage: CPU usage of the partition in Virtual CPUs (PowerLinux only)","Performance Data",LPAR,"CPU USAGE STATISTICS","sourcetype=nmon_data",Nbr
