hostname,OStype,"AIX_Machine_SerialNumber","AIX_virtualcpus","AIX_logicalcores","AIX_entitled","AIX_LEVEL","AIX_processor_mode","AIX_processor_clockspeed","AIX_cpu_type","AIX_kernel_type","AIX_plateform_firmware_level","AIX_PoolID","AIX_system_installed_CPUs","AIX_system_active_CPUs","AIX_PoolCPUs","AIX_memory_MB","AIX_pagingspace_MB","Linux_memory_MB","Linux_swap_MB","Linux_distribution","Linux_vendor","Linux_kernelversion","Solaris_version","Solaris_sunOS_version","Solaris_processor_clockspeed","Solaris_physical_memory_MB",Processor,"cpu_cores","nmon_version","uptime_seconds","uptime_duration","system_startup_date","reporting_date",OSversion,"Physical_mem_MB","Virtual_mem_MB"
SBU0QO22,AIX,44G7116,2,4,"0.20","6.1.6.15","POWER 6","4208 MHz","64-bit","64-bit","EH350_149",0,64,31,31,6144,2560,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.6.15",6144,2560
SBU0WA50,AIX,1084E0B,4,8,"0.40","6.1.5.4","POWER 5","1902 MHz","64-bit","64-bit","SF240_417",0,16,14,14,4096,512,,,,Undeterminated,,,,,,"PowerPC_POWER5","4 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",4096,512
SBU0WMY3,AIX,8362892,1,2,"0.10","7.1.3.16","POWER 5","2102 MHz","64-bit","64-bit","SF240_417",0,64,8,8,2048,512,,,,Undeterminated,,,,,,"PowerPC_POWER5","1 / 2","TOPAS-NMON",36032400,"417+01:00:00","05/09/2015 00:00","06/19/2016 00:00","7.1.3.16",2048,512
SBU0XB99,AIX,06D93AP,7,28,"0.70","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,12288,8192,,,,Undeterminated,,,,,,"PowerPC_POWER7","7 / 28","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",12288,8192
SDA11V08,AIX,838DAC5,2,4,"0.20","6.1.2.2","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,58,58,,20992,,,,Undeterminated,,,,,,"PowerPC_POWER6","2 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.2.2",,20992
SDU01A04,AIX,83D5E8E,1,2,"0.10","6.1.5.4","POWER 5","2102 MHz","64-bit","64-bit","SF240_417",0,64,31,31,3072,4608,,,,Undeterminated,,,,,,"PowerPC_POWER5","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",3072,4608
SDU01C4B,AIX,84333C6,4,8,"0.40","6.1.5.4","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,35,35,10240,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","4 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",10240,8704
SDU01C8A,AIX,84333C6,1,2,"0.10","6.1.5.4","POWER 6","4208 MHz","64-bit","64-bit","EH350_166",0,64,35,35,4096,8704,,,,Undeterminated,,,,,,"PowerPC_POWER6","1 / 2","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",4096,8704
SDU01G43,AIX,83D5E8E,2,4,"0.20","6.1.9.16","POWER 5","2102 MHz","64-bit","64-bit","SF240_417",0,64,31,31,4095,5120,,,,Undeterminated,,,,,,"PowerPC_POWER5","2 / 4","TOPAS-NMON",33958800,"393+01:00:00","06/02/2015 00:00","06/19/2016 00:00","6.1.9.16",4095,5120
SDU0B904,AIX,214FF8V,2,8,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,56,56,8192,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",1213200,"14+01:00:00","06/15/2016 00:00","06/19/2016 00:00","6.1.9.16",8192,8704
SDU0Z035,AIX,214FF8V,2,8,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,56,56,3072,14336,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.9.16",3072,14336
SDU0Z054,AIX,214FF8V,2,8,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,56,56,5120,7168,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.9.16",5120,7168
SDU1WMC5,AIX,214FF8V,1,4,"0.10","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,56,56,4096,4608,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",15814800,"183+01:00:00","12/28/2015 23:00","06/19/2016 00:00","6.1.9.16",4096,4608
SDU1Z023,AIX,214FF8V,1,4,"0.05","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,56,56,4096,6656,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.9.16",4096,6656
SEU02B08,AIX,219840V,4,16,"0.40","6.1.9.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,58,58,10240,7680,,,,Undeterminated,,,,,,"PowerPC_POWER7","4 / 16","TOPAS-NMON",3978000,"46+01:00:00","05/14/2016 00:00","06/19/2016 00:00","6.1.9.16",10240,7680
SPA00A07,AIX,06E9B1T,2,8,"1.00","6.1.8.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,10240,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",2941200,"34+01:00:00","05/26/2016 00:00","06/19/2016 00:00","6.1.8.16",10240,8704
SPA00G43,AIX,06D939P,1,4,"0.20","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,5120,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",5120,8704
SPA00K41,AIX,06D939P,1,4,"0.10","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",1,64,58,30,5120,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",5120,8704
SPA01A01,AIX,06E9B2T,2,8,"1.00","6.1.8.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,10240,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",2941200,"34+01:00:00","05/26/2016 00:00","06/19/2016 00:00","6.1.8.16",10240,8704
SPA01A03,AIX,06E9B2T,2,8,"1.00","6.1.8.16","POWER 7","4424 MHz","64-bit","64-bit","AM780_071",0,64,28,28,10240,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","2 / 8","TOPAS-NMON",2941200,"34+01:00:00","05/26/2016 00:00","06/19/2016 00:00","6.1.8.16",10240,8704
SPA01G23,AIX,06D93AP,1,4,"0.10","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,5120,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",5120,8704
SPA01K23,AIX,06D93AP,1,4,"0.10","6.1.5.4","POWER 7","3108 MHz","64-bit","64-bit","AM780_068",0,64,58,58,5120,8704,,,,Undeterminated,,,,,,"PowerPC_POWER7","1 / 4","TOPAS-NMON",,,,"06/19/2016 00:00","6.1.5.4",5120,8704
